GL,vs,GL
Ball No,Runs,General Commentary,Bowler,Batsman,Fielder
13.6,6,"Nehra to Smith, SIX, right in the slot for him to swing his arms and Smith does so with magnificent ease. Lofted handsomely down the ground, ball smashes into the sightscreen",Nehra,Smith
13.5,1,"Nehra to Karthik, 1 run, width on offer, uses the pace to run it down to third man",Nehra,Karthik
13.4,1,"Nehra to Smith, 1 run, length ball on middle and off, Smith wrists it down to long-on",Nehra,Smith
13.3,0,"Nehra to Smith, no run, full-length delivery that tails away from middle. Henriques at cover slides across and hurls a throw at the bowler's end. Karthik would've been gone had that hit. despite a full-length dive",Nehra,Smith
13.2,0,"Nehra to Smith, no run, short ball on middle and leg, he ducks under it this time",Nehra,Smith
13.1,1,"Nehra to Karthik, 1 run, floats a length ball across Karthik, who gets a thick inside edge on the drive to midwicket Nehra KD Karthik MC Henriques DR Smith Rashid Khan",Nehra,Karthik
12.6,1,"Henriques to Karthik, 1 run, floats a full delivery outside off, smashed on the up to deep point.",Henriques,Karthik
12.5,1,"Henriques to Smith, 1 run, clubbed across the line to long-on. Flat hit",Henriques,Smith
12.4,1,"Henriques to Karthik, 1 run, gets forward and then opens the bat face late to ease it wide of point",Henriques,Karthik
12.3,1,"Henriques to Smith, 1 run, length ball on middle, worked to midwicket",Henriques,Smith
12.2,4,"Henriques to Smith, FOUR, poor delivery. Too full on the pads and he's flicked that effortlessly into the deep backward square leg boundary. Neat roll of the wrists that generate all the power and timing.",Henriques,Smith
12.1,4,"Henriques to Smith, FOUR, fine shot, good old fashioned Smith slog. Full outside off, he swings across the line to clear the infield, into the deep midwicket boundary. Picked the KD Karthik Rashid Khan DR Smith BCJ Cutting",Henriques,Smith
11.6,0,"Rashid Khan to Karthik, no run, beauty again. Sharp turn from outside off, DK plays inside the line as it fizzes through to the keeper. End of a fine spell.",Rashid Khan,Karthik
11.5,4,"Rashid Khan to Karthik, FOUR, draws him forward with the length, the ball spins away to take the edge. Races past short third man Rashid Khan is the first bowler to have three lbws in an IPL game",Rashid Khan,Karthik
11.4,1,"Rashid Khan to Smith, 1 run, slider that drifts into middle, worked to square leg",Rashid Khan,Smith
11.3,0,"Rashid Khan to Smith, no run, peach of a delivery. Looked to flick but the ball deviated from the full length area to beat the outside edge by a whisker. There was some noise as ball passed bat.",Rashid Khan,Smith
11.2,0,"Rashid Khan to Smith, no run, googly that spins back in a long way, hit on the pad but the angle would've taken it down leg",Rashid Khan,Smith
11.1,2,"Rashid Khan to Smith, 2 runs, gets to the pitch of the ball and crunches this into the gap at deep extra cover Rashid to finish off DR Smith BCJ Cutting KD Karthik Bipul Sharma",Rashid Khan,Smith
10.6,1,"Cutting to Smith, 1 run, floats one into middle and leg, whipped to deep square leg",Cutting,Smith
10.5,4,"Cutting to Smith, FOUR, thumped into the cover boundary on the up. Full swing of the bat, delightful timing. Dhawan thought he was in with a chance but all he managed in the end was a swimming pool dive.",Cutting,Smith
10.4,0,"Cutting to Smith, no run, looked to play a short-arm jab but played too early. It was another slower leg-cutter that bounced much more than Smith expected. Waist-high",Cutting,Smith
10.3,1,"Cutting to Karthik, 1 run, slow leg-cutter from length outside off, steered wide of short third man",Cutting,Karthik
10.2,1,"Cutting to Smith, 1 run, angled into the pads, flicked to dine leg",Cutting,Smith
10.1,1,"Cutting to Karthik, 1 run, length ball on middle, tucked to deep midwicket Here's Ben Cutting DR Smith Bipul Sharma KD Karthik Rashid Khan",Cutting,Karthik
9.6,0,"Bipul Sharma to Smith, no run, gets a good stride forward and defends",Bipul Sharma,Smith
9.5,0,"Bipul Sharma to Smith, no run, excellent stop off his own bowling, moving swiftly to his left on the followthrough and then dishing in a full-length dive to pull off a one-handed stop",Bipul Sharma,Smith
9.4,1,"Bipul Sharma to Karthik, 1 run, drifting into middle and leg, worked to midwicket",Bipul Sharma,Karthik
9.3,1,"Bipul Sharma to Smith, 1 run, looks to clear long-on but didn't get underneath the flight, squeezed to the fielder",Bipul Sharma,Smith
9.2,1,"Bipul Sharma to Karthik, 1 run, lunges forward and drives to cover where a misfield allows the single",Bipul Sharma,Karthik
9.1,0,"Bipul Sharma to Karthik, no run, drifting into middle and leg, DK struck on the pad as he looks to work it to the leg side Bipul is back KD Karthik Rashid Khan A Nehra",Bipul Sharma,Karthik
8.6,W,"Rashid Khan to Raina, OUT, this time he's foxes Raina with a traditional legbreak. Raina plays down the wrong line, perhaps expecting a googly. He was a dead duck the moment it",Rashid Khan,Raina
8.5,1,"Rashid Khan to Karthik, 1 run, picks the googly. Gets outside the line and wrists it to deep midwicket",Rashid Khan,Karthik
8.4,1,"Rashid Khan to Raina, 1 run, touch short and down leg, nurdled to short fine leg",Rashid Khan,Raina
8.3,1,"Rashid Khan to Karthik, 1 run, drifting into middle from wide of the crease, turned to square leg as they pick an easy single",Rashid Khan,Karthik
8.2,0,"Rashid Khan to Karthik, no run, too full outside off, eased with an opened bat face to point",Rashid Khan,Karthik
8.1,0,"Rashid Khan to Karthik, no run, beaten by a quicker delivery that fizzes away from outside off. DK looked to steer it behind point SK Raina A Nehra KD Karthik Rashid Khan",Rashid Khan,Karthik
7.6,0,"Nehra to Raina, no run, gets this to stop on Raina who is early into the drive, checks his shot at the last moment. On the bounce to cover",Nehra,Raina
7.5,1,"Nehra to Karthik, 1 run, plants forward and punches an away-going delivery on the up to long-off",Nehra,Karthik
7.4,0,"Nehra to Karthik, no run, dabs a length ball to the man coming in from point. Looks for a single but is sent back",Nehra,Karthik
7.3,2,"Nehra to Karthik, 2 runs, flicked wide of mid-on. Far from a half-volley but he still went through with the stroke",Nehra,Karthik
7.2,4,"Nehra to Karthik, FOUR, the confidence of a man in the form of his life. Overpitched from Nehra, DK leans into the drive and blasts this down the ground. Super shot",Nehra,Karthik
7.1,1,"Nehra to Raina, 1 run, length ball outside off, punched uppishly to deep cover SK Raina Rashid Khan KD Karthik B Kumar",Nehra,Raina
6.6,1,"Rashid Khan to Raina, 1 run, leans forward and works the full delivery to midwicket",Rashid Khan,Raina
6.5,1,"Rashid Khan to Karthik, 1 run, didn't pick it off the hand again, played outside the line to get a thick inside edge to square leg. Prodded with the bat well in front of the pad on that occasion",Rashid Khan,Karthik
6.4,1,"Rashid Khan to Raina, 1 run, too full on off stump, squeezed to long-off",Rashid Khan,Raina
6.3,1,"Rashid Khan to Karthik, 1 run, turns the incoming length ball to the leg side gently to get off the mark So the Finch experiment has failed. At No.4 in T20s: Ave of 13.77, SR of 100.81",Rashid Khan,Karthik
6.2,W,"Rashid Khan to Finch, OUT, he continues to weave his magic. This is another googly that drifts in from wide of the crease. Finch didn't pick it off the hand and stabbed outside the line, only to see the ball cut back in to beat the inside edge and hit him plumb in front. Lions in real rouble AJ Finch lbw b Rashid Khan 3 (4m 5b 0x4 0x6) SR: 60.00",Rashid Khan,Finch
6.1,2,"Rashid Khan to Finch, 2 runs, full toss on middle and leg, flicked into the gap between deep midwicket and long-on AJ Finch B Kumar SK Raina Rashid Khan",Rashid Khan,Finch
5.6,1,"Kumar to Finch, 1 run, lucky to get away with a leg-stump half-volley that has been flicked straight to deep square leg",Kumar,Finch
5.4,1lb,"Kumar to Finch, 1 leg bye, once again it's a length ball on middle and leg which he look to work leg side, misses and they get a deflection off the thigh pad",Kumar,Finch
5.3,0,"Kumar to Finch, no run, nips back in sharply to hit him on the pad but the ball was sliding down leg",Kumar,Finch
5.2,W,"Kumar to Roy, OUT, once again looks to go leg side but doesn't get hold of the pull. Dhawan",Kumar,Roy
5.1,2,"Kumar to Roy, 2 runs, muscled into the deep midwicket region where Rashid charges across and hurls a flat throw at the striker's end SK Raina Rashid Khan JJ Roy A Nehra",Kumar,Roy
4.6,0,"Rashid Khan to Raina, no run, Dropped! Sharp, sharp chance. This one is fuller in length, Raina looks to go inside-out stroke over cover, but the ball drifts away late to take the edge to Warner who nearly managed to pull off a blinder at slip. Put his hand out to the right but couldn't hold on Raina in at No. 3",Rashid Khan,Raina
4.5,W,"Rashid Khan to McCullum, OUT, what a big wicket, a potentially big moment. The dangerous McCullum never looked in today. This is the wrong'un which he looks to sweep but plays too early and is beaten. Struck plumb in front of middle. Umpire had no hesitation in raising the finger. BB McCullum lbw b Rashid Khan 5 (20m 10b 0x4 0x6) SR: 50.00",Rashid Khan,McCullum
4.4,0,"Rashid Khan to McCullum, no run, whipped straight to square leg this time. Lucky to get away with the short ball",Rashid Khan,McCullum
4.3,2,"Rashid Khan to McCullum, 2 runs, backs away and then carves that into the gap at point. Had to wait, wait and wait before giving all his might to beat the cover point fielder.",Rashid Khan,McCullum
4.2,0,"Rashid Khan to McCullum, no run, drifting into the pads, McCullum late on the flick, deflects off the pad to short fine leg",Rashid Khan,McCullum
4.1,1,"Rashid Khan to Roy, 1 run, sweeps a full toss from outside off to deep midwicket. Didn't get hold of it though, on the bounce to the fielder Rashid Khan into the attack JJ Roy A Nehra BB McCullum Bipul Sharma",Rashid Khan,Roy
3.6,1,"Nehra to Roy, 1 run, looks to smack this over midwicket but toe-ended it to the fielder there. This also kept a touch low which meant he couldn't time it as well as he would've liked",Nehra,Roy
3.5,1lb,"Nehra to McCullum, 1 leg bye, appeal for lbw but the ball pitched miles outside leg. McCullum looked to pull and was too early into the stroke. The ball deflects to short third man",Nehra,McCullum
3.4,0,"Nehra to McCullum, no run, back of length on middle, tucks McCullum up, defended to the off side",Nehra,McCullum
3.3,1,"Nehra to Roy, 1 run, chipped over the infield, too straight for mid-on to have a shout. Another cutter from Nehra, he played too early and got a leading edge.",Nehra,Roy
3.2,4,"Nehra to Roy, FOUR, swats this into the deep midwicket boundary. Too short, this was sitting up nicely for Roy to wind up and smack that. What power",Nehra,Roy
3.1,0,"Nehra to Roy, no run, looks to reverse paddle Nehra, but gave away his intentions too early. Nehra clevely bowls an off cutter and beats him outside leg stump Here's Nehra JJ Roy Bipul Sharma BB McCullum B Kumar",Nehra,Roy
2.6,1,"Bipul Sharma to Roy, 1 run, makes room and punches the short ball to long-off",Bipul Sharma,Roy
2.5,4,"Bipul Sharma to Roy, FOUR, steps out and lofts him over Warner at mid-on. Didn't get it off the middle but just about managed to clear the infield. Ended up dragging it just a wee bit",Bipul Sharma,Roy
2.4,4,"Bipul Sharma to Roy, FOUR, too short and punished. All the time in the world to rock back and pull that in front of square, full swing of the bat to muscle that into the deep midwicket boundary",Bipul Sharma,Roy
