RPS,BATSMAN,STEVEN SMITH,STEVEN,SMITH
RPS,ALL ROUNDER,BEN STOKES,BEN,STOKES
RPS,WICKET KEEPER,MS DHONI,MAHENDRA SINGH,DHONI
RPS,BATSMAN,MANOJ TIWARY,MANOJ,TIWARY
RPS,BOWLER,ADAM ZAMPA,ADAM,ZAMPA
RPS,BOWLER,ASHOK DINDA,ASHOK,DINDA
RPS,BOWLER,IMRAN TAHIR,IMRAN,TAHIR
RPS,ALL ROUNDER,RAJAT BHATIA,RAJAT,BHATIA
RPS,BOWLER,DEEPAK CHAHAR,DEEPAK,CHAHAR
RPS,ALL ROUNDER,DANIEL CHRISTIAN,DANIEL,CHRISTIAN
RPS,BATSMAN,FAF DU PLESIS,FAF,DU PLESIS
RPS,BATSMAN,RAHUL TRIPATHI,RAHUL,TRIPATHI
SRH,BATSMAN,DAVID WARNER,DAVID ,WARNER
SRH,BATSMAN,SHIKHAR DHAWAN,SHIKHAR,DHAWAN
SRH,BATSMAN,YUVRAJ SINGH,YUVRAJ,SINGH
SRH,ALL ROUNDER,MOISES HENRIQUES,MOISES,HENRIQUES
SRH,ALL ROUNDER,BEN CUTTING,BEN,CUTTING
SRH,WICKET KEEPER,NAMAN OJHA,NAMAN,OJHA
SRH,ALL ROUNDER,BIPUL SHARMA,BIPUL,SHARMA
SRH,BOWLER,BHUVNESHWAR KUMAR,BHUVNESHWAR,KUMAR
SRH,BOWLER,ASHISH NEHRA ,ASHISH,NEHRA 
SRH,BOWLER,RASHID KHAN,RASHID,KHAN
SRH,ALL ROUNDER,DEEPAK HOODA,DEEPAK,HOODA
SRH,BOWLER,CHRIS JORDAN,CHRIS,JORDAN
SRH,ALL ROUNDER,V SHANKAR,VIJAY,SHANKAR
SRH,BOWLER,MUSTAFIZUR RAHMAN,MUSTAFIZUR,RAHMAN
