KKR,vs,MI
Ball No,Runs,General Commentary,Bowler,Batsman,Fielder
14.2,4,"Harbhajan Singh to Yadav, FOUR, what a shot. Flat at a length outside off, it's like he's playing a pacer against the new ball - half a stride and drives it on the up to beat long-off to his left",Harbhajan Singh,Yadav
14.1,0,"Harbhajan Singh to Yadav, no run, back of a length at off stump, punched straight to extra cover off the back foot MK Pandey MJ McClenaghan SA Yadav Harbhajan Singh",Harbhajan Singh,Yadav
13.6,6,"McClenaghan to Pandey, SIX, keeps at that line and length, short and wide outside off, this time Pandey doesn't try to hit it hard. Anticipates the bounce, and uses it to ramp it over third man",McClenaghan,Pandey
13.5,0,"McClenaghan to Pandey, no run, short and wide outside off stump, climbs over his attemped cut shot and beats him",McClenaghan,Pandey
13.4,1,"McClenaghan to Yadav, 1 run, slower ball at off stump, good length, hits it on the up and on the bounce to Pollard at long-on",McClenaghan,Yadav
13.3,0,"McClenaghan to Yadav, no run, short at middle stump, skips outside leg stump to ramp it to the third man boundary, beaten",McClenaghan,Yadav
13.2,1,"McClenaghan to Pandey, 1 run, short and wide outside off stump, backs away and slaps it to sweeper cover",McClenaghan,Pandey
13.1,1,"McClenaghan to Yadav, 1 run, full at leg stump, driven with the full face to long-on Mitch, around the wicket SA Yadav Harbhajan Singh MK Pandey KH Pandya",McClenaghan,Yadav
12.6,1,"Harbhajan Singh to Yadav, 1 run, short and wide outside off, late cut, can't get it past short third man",Harbhajan Singh,Yadav
12.5,1,"Harbhajan Singh to Pandey, 1 run, flat and short at off stump again, hurries him on the pull, he can't connect, rolls slowly to midwicket",Harbhajan Singh,Pandey
12.4,1,"Harbhajan Singh to Yadav, 1 run, back of a length at off stump, punched off the back foot past the bowler",Harbhajan Singh,Yadav
12.3,1,"Harbhajan Singh to Pandey, 1 run, fires it fast, short at off stump, pulls it to midwicket",Harbhajan Singh,Pandey
12.2,4,"Harbhajan Singh to Pandey, FOUR, top spinner, short and wide, hangs back and opens the face to get this past short third man. Skillful.",Harbhajan Singh,Pandey
12.1,1,"Harbhajan Singh to Yadav, 1 run, good length, fired in at leg stump, pushed to long leg SA Yadav KH Pandya MK Pandey Harbhajan Singh",Harbhajan Singh,Yadav
11.6,1,"KH Pandya to Yadav, 1 run, back of a length at off stump, goes deep in the crease and whips it to deep midwicket off the back foot",KH Pandya,Yadav
11.5,1,"KH Pandya to Pandey, 1 run, back of a length outside off, finds point with the cut",KH Pandya,Pandey
11.4,W,"KH Pandya to Pathan, OUT, beautiful bowling. Loops it up again, good length at off. Pathan has had enough scratching around. Bounces down the track, doesn't get to the pitch and slices this to long-off's left, and it's brother Hardik under it again YK Pathan c HH Pandya b KH Pandya 6 (15m 11b 0x4 0x6) SR: 54.54",KH Pandya,Pathan,HH Pandya
11.3,1,"KH Pandya to Pandey, 1 run, back of a length at off stump, back foot punch to sweeper",KH Pandya,Pandey
11.2,4,"KH Pandya to Pandey, FOUR, full and wide outside off, this time he throws his hands at it unceremoniously, gets an outside edge again, and it's four this time",KH Pandya,Pandey
11.1,0,"KH Pandya to Pandey, no run, dropped. This is looped beautifully at middle stump, draws him forward, makes him poke, draws the edge. Basically he's done everything perfectly as a left-arm spinner. But that took off rapidly and Parthiv can't hold on We haven't had a boundary in 34 balls YK Pathan Harbhajan Singh MK Pandey KH Pandya",KH Pandya,Pandey
10.6,0,"Harbhajan Singh to Pathan, no run, good length at off stump, defended back to the bowler",Harbhajan Singh,Pathan
10.5,1,"Harbhajan Singh to Pandey, 1 run, flat full toss at off stump, clears the front leg, slogs it past Rohit at midwicket who might have got a hand on it, long-on doesn't have to travel too fast to his right",Harbhajan Singh,Pandey
10.4,1,"Harbhajan Singh to Pathan, 1 run, short and wide outside off stump, back foot punch to find sweeper Harbhajan took only 8 wickets at 40.87 in the middle overs (7-15) last IPL season, economy of 7.78",Harbhajan Singh,Pathan
10.3,1,"Harbhajan Singh to Pandey, 1 run, short and wide, finds sweeper with the cut",Harbhajan Singh,Pandey
10.2,0,"Harbhajan Singh to Pandey, no run, good length at off stump, closes the face too early and the leading edge teases extra cover and the bowler, before landing safely in front of both. Buttler",Harbhajan Singh,Pandey
10.1,0,"Harbhajan Singh to Pandey, no run, good length outside off, arm ball, slides through quickly under his attempted cut and beats him MK Pandey KH Pandya YK Pathan Harbhajan Singh",Harbhajan Singh,Pandey
9.6,1,"KH Pandya to Pandey, 1 run, short at middle stump, straightens and forces him to swivel as he pulls it to deep square",KH Pandya,Pandey
9.5,1,"KH Pandya to Pathan, 1 run, good length at off stump, goes forward and drops it into the off side",KH Pandya,Pathan
9.4,1,"KH Pandya to Pandey, 1 run, tossed up at middle stump, steps out and jams it out to long-on",KH Pandya,Pandey
